No,Word,Number
0,omicron,1486
1,variant,246
2,de,228
3,covid,170
4,que,148
5,cases,142
6,la,134
7,people,123
8,delta,122
9,booster,108
10,vaccine,100
11,new,89
12,vaccinated,86
13,pfizer,86
14,like,83
15,south,78
16,variante,75
17,el,73
18,could,73
19,africa,72
20,deaths,71
21,amp,68
22,get,67
23,via,67
24,en,63
25,uk,62
26,us,59
27,may,59
28,ómicron,59
29,one,58
30,mild,57
31,vaccines,56
32,por,52
33,se,52
34,health,52
35,case,50
36,virus,50
37,less,50
38,data,50
39,need,47
40,news,47
41,end,46
42,would,45
43,e,45
44,first,44
45,good,44
46,time,44
47,dose,44
48,say,43
49,spread,42
50,study,42
51,da,41
52,ômicron,41
53,next,40
54,pandemic,40
55,los,40
56,far,40
57,going,39
58,protection,39
59,week,38
60,es,38
61,não,37
62,coronavirus,37
63,two,36
64,still,36
65,see,35
66,know,35
67,immunity,35
68,well,34
69,milder,34
70,scientists,34
71,effective,34
72,doses,34
73,last,33
74,variants,33
75,weeks,32
76,rate,32
77,said,32
78,para,31
79,con,31
80,infection,30
81,also,29
82,com,29
83,months,29
84,stop,29
85,sa,29
86,reported,29
87,youtube,28
88,yet,28
89,many,28
90,boosters,28
91,las,28
92,strain,28
93,zero,27
94,seems,27
95,severe,27
96,even,27
97,since,26
98,fully,26
99,infected,26
