,tokenized_column
0,"['@', 'hjelle_brian', 'People', 'keep', 'rushing', 'to', 'conclusions', 'over', 'omicron', 'over', '$', '$', '$', 'amounts', 'and', 'wanting', 'to', 'have', 'there', 'normal', 'life', 'back', '.', 'I', 'also', 'see', 'places', 'not', 'testing', 'enough', 'down', 'there', 'or', 'some', 'not', 'getting', 'to', 'a', 'hospital', '.', 'we', 'need', 'to', 'see', 'what', 'omicron', 'does', 'in', 'the', 'UK', 'to', 'get', 'a', 'better', 'understanding', '.']"
1,"['Turki', 'Temukan', '6', 'Kasus', 'Omicron', ',', 'Gejala', 'Ringan', ',', 'Tak', 'Perlu', 'Rawat', 'Inap', 'https', ':', '//t.co/i150j2Oye4']"
2,"['@', 'business', 'Maybe', 'they', 'have', 'omicron', 'from', 'the', 'airplane', '.', 'Not', 'in', 'the', 'hotel']"
3,"['And', 'that', ""'s"", 'how', 'it', 'begins', ""'Japan"", 'confirms', 'first', 'case', 'of', 'omicron', 'that', 'passed', 'quarantine', 'inspection', ""'"", 'https', ':', '//t.co/rrDgXRItkw']"
4,"['21finz', 'just', 'discovered', ':', 'Youtube', ':', 'New', 'Insight', 'On', 'Transmissibility', 'Of', 'Omicron', 'Variant', '-', 'https', ':', '//t.co/nHaeC3RqiT']"
5,"['@', 'YFumehood', '@', 'CthulhuHulu', '@', 'Myriam91733196', '@', 'MTRX2010', '@', 'GregAbbott_TX', 'The', 'delta', 'variant', 'was', 'the', 'main', 'one', 'until', 'a', 'week', 'or', 'two', 'ago', '....', 'plus', 'omicron', 'is', 'much', 'more', 'mild', 'then', 'delta', '!', 'So', 'whats', 'your', 'point', '?']"
6,"['@', 'hormonedietdoc', 'Now', 'would', 'be', 'a', 'good', 'time', 'since', 'we', '’', 're', 'all', 'getting', 'some', 'Omicron', 'soon', '.']"
7,"['@', 'bambamtuivasa', 'out', 'here', 'doing', 'shoeis', 'with', 'strangers', 'shoes', '.', 'Fuqq', 'omicron', 'n', 'shit', '😂😂']"
8,"['Very', 'important', 'information', 'on', 'omicron', 'virus']"
9,"['Wisconsin', 'wedding', 'leads', 'to', 'Omicron', 'super', 'spread', 'in', 'Oakland', 'https', ':', '//t.co/osJLF0eUIK', 'via', '@', 'MailOnline']"
